,COOPID,Year,Month,Day,Precipitation,MaxTemp,MinTemp
0,83168,1952,1,1,,,
1,83168,1952,1,2,,,
2,83168,1952,1,3,,,
3,83168,1952,1,4,,,
4,83168,1952,1,5,,,
5,83168,1952,1,6,,,
6,83168,1952,1,7,,,
7,83168,1952,1,8,,,
8,83168,1952,1,9,,,
9,83168,1952,1,10,,,
10,83168,1952,1,11,,,
11,83168,1952,1,12,,,
12,83168,1952,1,13,,,
13,83168,1952,1,14,,,
14,83168,1952,1,15,,,
15,83168,1952,1,16,,,
16,83168,1952,1,17,,,
17,83168,1952,1,18,,,
18,83168,1952,1,19,,,
19,83168,1952,1,20,,,
20,83168,1952,1,21,,,
21,83168,1952,1,22,,,
22,83168,1952,1,23,,,
23,83168,1952,1,24,,,
24,83168,1952,1,25,,,
25,83168,1952,1,26,,,
26,83168,1952,1,27,,,
27,83168,1952,1,28,,,
28,83168,1952,1,29,,,
29,83168,1952,1,30,,,
30,83168,1952,1,31,,,
31,83168,1952,2,1,,,
32,83168,1952,2,2,,,
33,83168,1952,2,3,,,
34,83168,1952,2,4,,,
35,83168,1952,2,5,,,
36,83168,1952,2,6,,,
37,83168,1952,2,7,,,
38,83168,1952,2,8,,,
39,83168,1952,2,9,,,
40,83168,1952,2,10,,,
41,83168,1952,2,11,,,
42,83168,1952,2,12,,,
43,83168,1952,2,13,,,
44,83168,1952,2,14,,,
45,83168,1952,2,15,,,
46,83168,1952,2,16,,,
47,83168,1952,2,17,,,
48,83168,1952,2,18,,,
49,83168,1952,2,19,,,
50,83168,1952,2,20,,,
51,83168,1952,2,21,,,
52,83168,1952,2,22,,,
53,83168,1952,2,23,,,
54,83168,1952,2,24,,,
55,83168,1952,2,25,,,
56,83168,1952,2,26,,,
57,83168,1952,2,27,,,
58,83168,1952,2,28,,,
59,83168,1952,2,29,,,
60,83168,1952,3,1,,,
61,83168,1952,3,2,,,
62,83168,1952,3,3,,,
63,83168,1952,3,4,,,
64,83168,1952,3,5,,,
65,83168,1952,3,6,,,
66,83168,1952,3,7,,,
67,83168,1952,3,8,,,
68,83168,1952,3,9,,,
69,83168,1952,3,10,,,
70,83168,1952,3,11,,,
71,83168,1952,3,12,,,
72,83168,1952,3,13,,,
73,83168,1952,3,14,,,
74,83168,1952,3,15,,,
75,83168,1952,3,16,,,
76,83168,1952,3,17,,,
77,83168,1952,3,18,,,
78,83168,1952,3,19,,,
79,83168,1952,3,20,,,
80,83168,1952,3,21,,,
81,83168,1952,3,22,,,
82,83168,1952,3,23,,,
83,83168,1952,3,24,,,
84,83168,1952,3,25,,,
85,83168,1952,3,26,,,
86,83168,1952,3,27,,,
87,83168,1952,3,28,,,
88,83168,1952,3,29,,,
89,83168,1952,3,30,,,
90,83168,1952,3,31,,,
91,83168,1952,4,1,0.0,80.0,72.0
92,83168,1952,4,2,0.05,82.0,70.0
93,83168,1952,4,3,0.0,83.0,63.0
94,83168,1952,4,4,0.0,83.0,63.0
95,83168,1952,4,5,0.0,85.0,66.0
96,83168,1952,4,6,0.0,85.0,58.0
97,83168,1952,4,7,0.0,70.0,55.0
98,83168,1952,4,8,0.0,75.0,59.0
99,83168,1952,4,9,0.0,75.0,65.0
100,83168,1952,4,10,0.0,79.0,68.0
101,83168,1952,4,11,0.0,77.0,70.0
102,83168,1952,4,12,0.0,79.0,71.0
103,83168,1952,4,13,0.0,79.0,71.0
104,83168,1952,4,14,0.0,89.0,75.0
105,83168,1952,4,15,0.0,89.0,57.0
106,83168,1952,4,16,0.0,78.0,50.0
107,83168,1952,4,17,0.0,75.0,52.0
108,83168,1952,4,18,0.0,76.0,60.0
109,83168,1952,4,19,0.0,78.0,70.0
110,83168,1952,4,20,0.0,82.0,71.0
111,83168,1952,4,21,0.0,82.0,72.0
112,83168,1952,4,22,0.0,79.0,71.0
113,83168,1952,4,23,0.0,82.0,73.0
114,83168,1952,4,24,0.0,83.0,72.0
115,83168,1952,4,25,0.0,80.0,71.0
116,83168,1952,4,26,2.01,80.0,65.0
117,83168,1952,4,27,0.0,77.0,62.0
118,83168,1952,4,28,0.0,79.0,60.0
119,83168,1952,4,29,0.0,82.0,58.0
120,83168,1952,4,30,0.0,80.0,61.0
121,83168,1952,5,1,0.0,82.0,61.0
122,83168,1952,5,2,0.0,83.0,70.0
123,83168,1952,5,3,0.0,85.0,68.0
124,83168,1952,5,4,0.0,85.0,70.0
125,83168,1952,5,5,0.0,85.0,67.0
126,83168,1952,5,6,0.0,85.0,66.0
127,83168,1952,5,7,0.0,83.0,67.0
128,83168,1952,5,8,0.0,83.0,70.0
129,83168,1952,5,9,0.0,82.0,72.0
130,83168,1952,5,10,0.0,85.0,71.0
131,83168,1952,5,11,0.0,84.0,69.0
132,83168,1952,5,12,0.5,75.0,69.0
133,83168,1952,5,13,0.0,75.0,68.0
134,83168,1952,5,14,0.0,78.0,65.0
135,83168,1952,5,15,0.0,82.0,72.0
136,83168,1952,5,16,0.0,87.0,75.0
137,83168,1952,5,17,0.0,85.0,74.0
138,83168,1952,5,18,0.0,86.0,77.0
139,83168,1952,5,19,0.0,86.0,77.0
140,83168,1952,5,20,0.0,83.0,78.0
141,83168,1952,5,21,0.0,86.0,78.0
142,83168,1952,5,22,0.0,86.0,79.0
143,83168,1952,5,23,0.0,86.0,78.0
144,83168,1952,5,24,0.0,87.0,78.0
145,83168,1952,5,25,0.0,89.0,77.0
146,83168,1952,5,26,0.0,89.0,77.0
